,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
1406,北屯區,房地(土地+建物),臺中市北屯區敦富路２０９號十四樓之７,10.89,住,,,1080722,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,81.25,2,1,1,有,有,6280000,77292,,0.0,0,1.讓渡日期:109年07月03日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPXNNLRJKHHGFBB08DA,48.89,0.0,5.32,有,
1407,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２１１號十四樓之１,16.92,住,,,1081221,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.4,3,2,2,有,有,9990000,75730,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPOONLRJKHHGFBB27DA,67.72,0.0,7.91,有,
1408,北屯區,房地(土地+建物),臺中市北屯區敦富路２１１號十四樓之２,10.38,住,,,1080804,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,77.0,2,1,1,有,有,6000000,77922,,0.0,0,預售屋、或土地及建物分件登記案件；,RPPONLRJKHHGFBB37DA,46.17,0.0,5.32,有,
1409,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２１１號十四樓之３,16.92,住,,,1080823,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.48,3,2,2,有,有,10080000,76469,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPRONLRJKHHGFBB57DA,67.8,0.0,7.91,有,
1410,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２１１號十四樓之６,12.08,住,,,1080704,土地1建物1車位1,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.91,2,1,1,有,有,7000000,74084,坡道平面,23.97,1300000,1.讓渡日期:110年06月23日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPTONLRJKHHGFBB77DA,46.11,0.0,5.32,有,
1411,北屯區,房地(土地+建物),臺中市北屯區敦富路２０３號十四樓之７,10.38,住,,,1080820,土地1建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,76.94,2,1,1,有,有,5880000,76423,,0.0,0,1.讓渡日期:109年12月24日2.轉售價格:6180000元正預售屋、或土地及建物分件登記案件；,RPVONLRJKHHGFBB97DA,46.11,0.0,5.32,有,
1412,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０１號十五樓之１,29.85,住,,,1080628,土地1建物1車位3,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,256.38,4,2,2,有,有,18180000,75785,坡道平面,71.91,4200000,預售屋、或土地及建物分件登記案件；,RPQPNLRJKHHGFBB57DA,111.04,0.0,12.28,有,
1413,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０１號十五樓之３,22.54,住,,,1081021,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,179.42,4,2,2,有,有,13430000,78032,坡道平面,23.97,1300000,1.讓渡日期:110年07月17日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPSPNLRJKHHGFBB77DA,93.96,0.0,9.86,有,
1414,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０１號十五樓之５,24.24,住,,,1080921,土地1建物1車位2,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,203.25,4,2,2,有,有,14200000,74689,坡道平面,47.94,2600000,預售屋、或土地及建物分件登記案件；,RPVPNLRJKHHGFBB08DA,93.77,0.0,9.91,有,
1415,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十五樓之１,18.96,住,,,1080813,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,152.51,3,2,2,有,有,10730000,73362,坡道平面,23.97,1300000,1.讓渡日期:109年12月25日2.轉售價格:11180000元正預售屋、或土地及建物分件登記案件；,RPWPNLRJKHHGFBB18DA,76.67,0.0,9.16,有,
1416,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十五樓之２,17.69,住,,,1081116,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,143.13,3,2,2,有,有,10260000,74354,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPXPNLRJKHHGFBB28DA,72.65,0.0,6.87,有,
1417,北屯區,房地(土地+建物),臺中市北屯區敦富路２０３號十五樓之３,10.38,住,,,1080809,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,77.0,2,1,1,有,有,5860000,76104,,0.0,0,1.讓渡日期:110年02月26日2.轉售價格:6200000元正預售屋、或土地及建物分件登記案件；,RPOQNLRJKHHGFBB47DA,46.17,0.0,5.32,有,
1418,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十五樓之５,15.22,住,,,1080928,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,124.5,3,2,2,有,有,8890000,75997,坡道平面,23.97,1250000,預售屋、或土地及建物分件登記案件；,RPQQNLRJKHHGFBB67DA,62.03,0.0,5.0,有,
1419,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十五樓之６,15.99,住,,,1090103,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,130.37,3,2,2,有,有,9490000,76034,坡道平面,23.97,1400000,1.讓渡日期:109年10月28日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPRQNLRJKHHGFBB77DA,66.06,0.0,5.0,有,
1420,北屯區,房地(土地+建物),臺中市北屯區敦富路２０３號十五樓之７,10.38,住,,,1080920,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,76.94,2,1,1,有,有,5900000,76683,,0.0,0,預售屋、或土地及建物分件登記案件；,RPSQNLRJKHHGFBB87DA,46.11,0.0,5.32,有,
1421,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十五樓之１,16.92,住,,,1080828,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.4,3,2,2,有,有,9320000,71586,坡道平面,23.97,1200000,預售屋、或土地及建物分件登記案件；,RPVQNLRJKHHGFBB18DA,67.72,0.0,7.91,有,
1422,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十五樓之２,12.08,住,,,1080527,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.91,2,1,1,有,有,6710000,71614,坡道平面,23.97,1200000,1.讓渡日期:110年06月19日2.轉售價格:7980000元正預售屋、或土地及建物分件登記案件；,RPWQNLRJKHHGFBB28DA,46.11,0.0,5.32,有,
1423,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十五樓之３,16.84,住,,,1080817,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.51,3,2,2,有,有,9450000,71781,坡道平面,23.97,1300000,1.讓渡日期:110年06月22日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPXQNLRJKHHGFBB38DA,67.83,0.0,7.91,有,
1424,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十五樓之５,16.92,住,,,1081115,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.48,3,2,2,有,有,9650000,72681,坡道平面,23.97,1400000,1.讓渡日期:110年07月24日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPPRNLRJKHHGFBB67DA,67.8,0.0,7.91,有,
1425,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十五樓之６,12.08,住,,,1080606,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.97,2,1,1,有,有,6600000,70130,坡道平面,23.97,1200000,1.讓渡日期:110年05月08日2.轉售價格:7300000元正預售屋、或土地及建物分件登記案件；,RPQRNLRJKHHGFBB77DA,46.17,0.0,5.32,有,
1426,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十五樓之７,16.92,住,,,1080531,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,9430000,70987,坡道平面,23.97,1400000,1.讓渡日期:110年04月03日2.轉售價格:10838000元正預售屋、或土地及建物分件登記案件；,RPSRNLRJKHHGFBB97DA,67.72,0.0,7.91,有,
1427,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之１,16.92,住,,,1081206,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.4,3,2,2,有,有,9550000,71850,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPTRNLRJKHHGFBB08DA,67.72,0.0,7.91,有,
1428,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之２,12.08,住,,,1080529,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,101.18,2,1,1,有,有,6700000,71234,坡道平面,23.97,1200000,1.讓渡日期:109年12月14日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPURNLRJKHHGFBB18DA,46.08,0.0,5.32,有,
1429,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之３,12.08,住,,,1080603,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,101.18,2,1,1,有,有,6820000,72788,坡道平面,23.97,1200000,1.讓渡日期:110年07月19日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPVRNLRJKHHGFBB28DA,46.08,0.0,5.32,有,
1430,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之５,16.92,住,,,1081213,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,9290000,71517,坡道平面,23.97,1200000,1.讓渡日期:109年12月06日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPWRNLRJKHHGFBB38DA,67.72,0.0,7.91,有,
1431,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之６,17.01,住,,,1081219,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,138.38,3,2,2,有,有,9700000,72546,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPXRNLRJKHHGFBB48DA,68.4,0.0,7.91,有,
1432,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之７,12.25,住,,,1080623,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,102.43,2,1,1,有,有,6720000,70354,坡道平面,23.97,1200000,1.讓渡日期:109年11月27日2.轉售價格:7580000元正預售屋、或土地及建物分件登記案件；,RPOSNLRJKHHGFBB67DA,47.02,0.0,5.32,有,
1433,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之８,12.16,住,,,1080603,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,102.34,2,1,1,有,有,6700000,70180,坡道平面,23.97,1200000,1.讓渡日期:109年11月16日2.轉售價格:7450000元正預售屋、或土地及建物分件登記案件；,RPPSNLRJKHHGFBB77DA,46.93,0.0,5.32,有,
1434,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十五樓之９,17.01,住,,,1081206,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,138.38,3,2,2,有,有,9480000,70623,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPQSNLRJKHHGFBB87DA,68.4,0.0,7.91,有,
1435,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十五樓之１,15.05,住,,,1081213,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,123.61999999999999,3,2,2,有,有,8880000,76066,坡道平面,23.97,1300000,1.讓渡日期:109年10月23日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPRSNLRJKHHGFBB97DA,62.46,0.0,4.0,有,
1436,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十五樓之２,12.08,住,,,1080815,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.97,2,1,1,有,有,7050000,74675,坡道平面,23.97,1300000,1.讓渡日期:110年06月18日2.轉售價格:7750000元正預售屋、或土地及建物分件登記案件；,RPTSNLRJKHHGFBB18DA,46.17,0.0,5.32,有,
1437,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十五樓之３,16.92,住,,,1090112,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,10100000,76909,坡道平面,23.97,1400000,1.讓渡日期:110年07月18日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPUSNLRJKHHGFBB28DA,67.72,0.0,7.91,有,
1438,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十五樓之５,16.92,住,,,1081116,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,10100000,76909,坡道平面,23.97,1400000,1.讓渡日期:110年07月20日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPWSNLRJKHHGFBB48DA,67.72,0.0,7.91,有,
1439,北屯區,房地(土地+建物),臺中市北屯區敦富路２０９號十五樓之６,10.38,住,,,1080824,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,76.94,2,1,1,有,有,6010000,78113,,0.0,0,1.讓渡日期:110年03月09日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPXSNLRJKHHGFBB58DA,46.11,0.0,5.32,有,
1440,北屯區,房地(土地+建物),臺中市北屯區敦富路２０９號十五樓之７,10.89,住,,,1080923,土地1建物1車位0,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,81.25,2,1,1,有,有,6390000,78646,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOTNLRJKHHGFBB77DA,48.89,0.0,5.32,有,
1441,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２１１號十五樓之２,12.08,住,,,1080706,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.97,2,1,1,有,有,7100000,75325,坡道平面,23.97,1300000,預售屋、或土地及建物分件登記案件；,RPQTNLRJKHHGFBB97DA,46.17,0.0,5.32,有,
1442,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２１１號十五樓之３,16.92,住,,,1080531,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.48,3,2,2,有,有,10200000,78407,坡道平面,23.97,1300000,預售屋、或土地及建物分件登記案件；,RPRTNLRJKHHGFBB08DA,67.8,0.0,7.91,有,
1443,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２１１號十五樓之６,12.08,住,,,1080528,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.91,2,1,1,有,有,7400000,77983,坡道平面,23.97,1400000,1.讓渡日期:110年07月26日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPUTNLRJKHHGFBB38DA,46.11,0.0,5.32,有,
1444,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２１１號十五樓之７,16.92,住,,,1081114,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,9920000,76202,坡道平面,23.97,1300000,預售屋、或土地及建物分件登記案件；,RPVTNLRJKHHGFBB48DA,67.72,0.0,7.91,有,
1445,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０１號十一樓之１,28.15,住,,,1080801,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,232.41,4,2,2,有,有,16630000,74972,坡道平面,47.94,2800000,預售屋、或土地及建物分件登記案件；,RPPNPLQJKHHGFBB37DA,111.04,0.0,12.28,有,
1446,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０１號十一樓之２,28.15,住,,,1080819,土地1建物1車位2,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,232.41,4,2,2,有,有,16500000,75351,坡道平面,47.94,2600000,1.讓渡日期:109年07月29日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPQNPLQJKHHGFBB47DA,111.04,0.0,12.28,有,
1447,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０１號十一樓之３,22.54,住,,,1081109,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,179.42,4,2,2,有,有,13280000,76745,坡道平面,23.97,1350000,1.讓渡日期:110年05月13日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPRNPLQJKHHGFBB57DA,93.96,0.0,9.86,有,
1448,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０１號十一樓之５,22.54,住,,,1081212,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,179.28,4,2,2,有,有,13180000,76492,坡道平面,23.97,1300000,預售屋、或土地及建物分件登記案件；,RPSNPLQJKHHGFBB67DA,93.77,0.0,9.91,有,
1449,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十一樓之２,17.69,住,,,1081211,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,143.13,3,2,2,有,有,10050000,72591,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPUNPLQJKHHGFBB87DA,72.65,0.0,6.87,有,
1450,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十一樓之３,12.08,住,,,1080809,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.97,2,1,1,有,有,6760000,72208,坡道平面,23.97,1200000,預售屋、或土地及建物分件登記案件；,RPVNPLQJKHHGFBB97DA,46.17,0.0,5.32,有,
1451,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十一樓之５,15.22,住,,,1080804,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,124.5,3,2,2,有,有,8780000,74406,坡道平面,23.97,1300000,1.讓渡日期:110年04月30日2.轉售價格:9700000元正預售屋、或土地及建物分件登記案件；,RPWNPLQJKHHGFBB08DA,62.03,0.0,5.0,有,
1452,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０３號十一樓之６,15.99,住,,,1081129,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,130.37,3,2,2,有,有,9500000,76128,坡道平面,23.97,1400000,1.讓渡日期:110年07月27日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPXNPLQJKHHGFBB18DA,66.06,0.0,5.0,有,
1453,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十一樓之１,16.92,住,,,1080710,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.4,3,2,2,有,有,9230000,69911,坡道平面,23.97,1300000,1.讓渡日期:109年12月08日2.轉售價格:9860000元正預售屋、或土地及建物分件登記案件；,RPPOPLQJKHHGFBB47DA,67.72,0.0,7.91,有,
1454,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十一樓之２,12.08,住,,,1080911,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.91,2,1,1,有,有,6320000,65246,坡道平面,23.97,1300000,1.讓渡日期:109年09月23日2.轉售價格:7480000元正預售屋、或土地及建物分件登記案件；,RPQOPLQJKHHGFBB57DA,46.11,0.0,5.32,有,
1455,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十一樓之３,16.84,住,,,1080902,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.51,3,2,2,有,有,9250000,70019,坡道平面,23.97,1300000,預售屋、或土地及建物分件登記案件；,RPROPLQJKHHGFBB67DA,67.83,0.0,7.91,有,
1456,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十一樓之５,16.92,住,,,1080528,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.48,3,2,2,有,有,9320000,69774,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPSOPLQJKHHGFBB77DA,67.8,0.0,7.91,有,
1457,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十一樓之６,12.08,住,,,1080724,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.97,2,1,1,有,有,6480000,68571,坡道平面,23.97,1200000,1.讓渡日期:109年08月11日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPTOPLQJKHHGFBB87DA,46.17,0.0,5.32,有,
1458,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０５號十一樓之７,16.92,住,,,1080710,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,9140000,69307,坡道平面,23.97,1300000,1.讓渡日期:110年06月22日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPUOPLQJKHHGFBB97DA,67.72,0.0,7.91,有,
1460,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十一樓之２,12.08,住,,,1080530,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,101.18,2,1,1,有,有,6730000,71623,坡道平面,23.97,1200000,1.讓渡日期:109年05月10日2.轉售價格:7150000元正預售屋、或土地及建物分件登記案件；,RPWOPLQJKHHGFBB18DA,46.08,0.0,5.32,有,
1461,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十一樓之５,16.92,住,,,1080705,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,9300000,70721,坡道平面,23.97,1300000,1.讓渡日期:109年11月11日2.轉售價格:9800000元正預售屋、或土地及建物分件登記案件；,RPOPPLQJKHHGFBB47DA,67.72,0.0,7.91,有,
1462,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十一樓之６,17.01,住,,,1080831,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,138.38,3,2,2,有,有,9170000,68788,坡道平面,23.97,1300000,預售屋、或土地及建物分件登記案件；,RPPPPLQJKHHGFBB57DA,68.4,0.0,7.91,有,
1463,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十一樓之７,12.25,住,,,1080609,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,102.43,2,1,1,有,有,6570000,68443,坡道平面,23.97,1200000,1.讓渡日期:109年08月24日2.此申報總價為原始買賣合約價預售屋、或土地及建物分件登記案件；,RPQPPLQJKHHGFBB67DA,47.02,0.0,5.32,有,
1464,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十一樓之８,12.16,住,,,1080826,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,102.34,2,1,1,有,有,6250000,63800,坡道平面,23.97,1250000,預售屋、或土地及建物分件登記案件；,RPRPPLQJKHHGFBB77DA,46.93,0.0,5.32,有,
1465,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０７號十一樓之９,17.01,住,,,1080729,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,138.38,3,2,2,有,有,9220000,69662,坡道平面,23.97,1250000,預售屋、或土地及建物分件登記案件；,RPSPPLQJKHHGFBB87DA,68.4,0.0,7.91,有,
1466,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十一樓之１,15.05,住,,,1081019,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,123.61999999999999,3,2,2,有,有,8880000,75063,坡道平面,23.97,1400000,預售屋、或土地及建物分件登記案件；,RPTPPLQJKHHGFBB97DA,62.46,0.0,4.0,有,
1467,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十一樓之２,12.08,住,,,1080709,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.97,2,1,1,有,有,7100000,76623,坡道平面,23.97,1200000,預售屋、或土地及建物分件登記案件；,RPUPPLQJKHHGFBB08DA,46.17,0.0,5.32,有,
1468,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十一樓之３,16.92,住,,,1081112,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,10010000,76114,坡道平面,23.97,1400000,1.讓渡日期:110年03月13日2.轉售價格:10500000元正預售屋、或土地及建物分件登記案件；,RPVPPLQJKHHGFBB18DA,67.72,0.0,7.91,有,
1469,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十一樓之５,16.92,住,,,1080920,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,137.09,3,2,2,有,有,9680000,74081,坡道平面,23.97,1300000,1.讓渡日期:109年12月24日2.轉售價格:10200000元正預售屋、或土地及建物分件登記案件；,RPWPPLQJKHHGFBB28DA,67.72,0.0,7.91,有,
1470,北屯區,房地(土地+建物)+車位,臺中市北屯區敦富路２０９號十一樓之６,12.08,住,,,1080706,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1110112,100.91,2,1,1,有,有,6900000,72784,坡道平面,23.97,1300000,1.讓渡日期:110年03月10日2.轉售價格:7650000元正預售屋、或土地及建物分件登記案件；,RPXPPLQJKHHGFBB38DA,46.11,0.0,5.32,有,
