,鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
5124,板橋區,房地(土地+建物),新北市板橋區中正路４６７號十九樓,20.25,住,,,1101018,土地1建物1車位0,十九層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,161.06,3,2,2,有,有,17850000,110828,,0.0,0,預售屋、或土地及建物分件登記案件；,RPXOMLTKKHHGFAF68DA,75.17,3.7,4.56,有,
5126,板橋區,房地(土地+建物)+車位,新北市板橋區中正路４６５號三樓,13.93,住,,,1100824,土地1建物1車位1,三層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,1101110,118.35,2,2,1,有,有,13900000,137512,坡道平面,33.63,2250000,預售屋、或土地及建物分件登記案件；,RPXOMLNKKHHGFAF08DA,49.39,0.0,6.12,有,
5127,板橋區,房地(土地+建物),新北市板橋區中正路４６９號十七樓,11.54,住,,,1090111,土地1建物1車位0,十七層,二十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101110,72.4,2,2,1,有,有,8900000,122928,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOQMLMKKHHGFAF27DA,41.04,1.36,5.05,有,
5128,板橋區,房地(土地+建物)+車位,新北市板橋區永豐街４９巷３０號十一樓,21.79,住,,,1110110,土地1建物1車位1,十一層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060811,185.46,3,2,2,有,無,30240000,169843,坡道平面,23.31,2700000,,RPPQMLRKJHHGFAF77DA,86.63,17.97,3.91,有,
5129,板橋區,房地(土地+建物)+車位,新北市板橋區民生路一段５號十樓,13.59,住,,,1101129,土地1建物1車位1,十層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831202,212.75,4,2,2,有,有,28500000,145734,坡道機械,29.54,1800000,陽台外推；,RPXOMLSJKHHGFAF48DA,158.67,0.0,23.35,有,166.0
5132,板橋區,房地(土地+建物),新北市板橋區四川路二段２４３號十二樓,3.63,住,,,1110126,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼骨混凝土造,0810808,34.83,0,1,1,有,有,4520000,129773,,0.0,0,,RPPOMLOLKHHGFAF47DA,31.6,0.0,0.51,有,167.0
5133,土城區,房地(土地+建物),新北市土城區學府路二段２７７號五樓,15.56,住,,,1081027,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,105.03,2,2,1,有,有,12000000,114253,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOSMLOJLHHGFAF67DA,61.36,3.56,4.07,有,
5134,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７９號八樓,14.86,住,,,1070806,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.02,2,2,1,有,有,12450000,122239,坡道平面,29.35,2100000,預售屋、或土地及建物分件登記案件；,RPSSMLOJLHHGFAF08DA,48.81,3.64,3.52,有,
5135,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７９號十二樓,14.86,住,,,1080622,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.02,2,2,1,有,有,12450000,125782,坡道平面,29.35,1800000,預售屋、或土地及建物分件登記案件；,RPTSMLOJLHHGFAF18DA,48.81,3.64,3.52,有,
5136,土城區,房地(土地+建物)+車位,新北市土城區學府路二段２７９號十三樓,14.86,住,,,1080622,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1101102,114.02,2,2,1,有,有,12470000,126019,坡道平面,29.35,1800000,預售屋、或土地及建物分件登記案件；,RPUSMLOJLHHGFAF28DA,48.81,3.64,3.52,有,
